DateKey,FullDate,Year,Quarter,Month,MonthName
19160904,1916-09-04,1916,3,9,September
19251105,1925-11-05,1925,4,11,November
19270110,1927-01-10,1927,1,1,January
19290130,1929-01-30,1929,1,1,January
19290208,1929-02-08,1929,1,2,February
19301115,1930-11-15,1930,4,11,November
19321208,1932-12-08,1932,4,12,December
19330202,1933-02-02,1933,1,2,February
19330209,1933-02-09,1933,1,2,February
19340222,1934-02-22,1934,1,2,February
19350906,1935-09-06,1935,3,9,September
19360205,1936-02-05,1936,1,2,February
19361020,1936-10-20,1936,4,10,October
19370903,1937-09-03,1937,3,9,September
19371220,1937-12-20,1937,4,12,December
19380524,1938-05-24,1938,2,5,May
19380823,1938-08-23,1938,3,8,August
19390815,1939-08-15,1939,3,8,August
19391019,1939-10-19,1939,4,10,October
19391215,1939-12-15,1939,4,12,December
19400119,1940-01-19,1940,1,1,January
19400223,1940-02-23,1940,1,2,February
19400412,1940-04-12,1940,2,4,April
19400830,1940-08-30,1940,3,8,August
19401113,1940-11-13,1940,4,11,November
19411028,1941-10-28,1941,4,10,October
19420814,1942-08-14,1942,3,8,August
19421126,1942-11-26,1942,4,11,November
19440301,1944-03-01,1944,1,3,March
19440701,1944-07-01,1944,3,7,July
19450601,1945-06-01,1945,2,6,June
19450829,1945-08-29,1945,3,8,August
19451125,1945-11-25,1945,4,11,November
19451228,1945-12-28,1945,4,12,December
19461220,1946-12-20,1946,4,12,December
19461225,1946-12-25,1946,4,12,December
19461231,1946-12-31,1946,4,12,December
19471111,1947-11-11,1947,4,11,November
19471224,1947-12-24,1947,4,12,December
19471227,1947-12-27,1947,4,12,December
19480214,1948-02-14,1948,1,2,February
19480611,1948-06-11,1948,2,6,June
19480826,1948-08-26,1948,3,8,August
19491022,1949-10-22,1949,4,10,October
19491214,1949-12-14,1949,4,12,December
19500517,1950-05-17,1950,2,5,May
19510713,1951-07-13,1951,3,7,July
19510918,1951-09-18,1951,3,9,September
19511108,1951-11-08,1951,4,11,November
19520110,1952-01-10,1952,1,1,January
19520314,1952-03-14,1952,1,3,March
19520327,1952-03-27,1952,1,3,March
19520410,1952-04-10,1952,2,4,April
19530121,1953-01-21,1953,1,1,January
19530613,1953-06-13,1953,2,6,June
19530804,1953-08-04,1953,3,8,August
19530916,1953-09-16,1953,3,9,September
19540426,1954-04-26,1954,2,4,April
19540622,1954-06-22,1954,2,6,June
19540825,1954-08-25,1954,3,8,August
19541223,1954-12-23,1954,4,12,December
19550109,1955-01-09,1955,1,1,January
19551003,1955-10-03,1955,4,10,October
19560530,1956-05-30,1956,2,5,May
19560627,1956-06-27,1956,2,6,June
19561115,1956-11-15,1956,4,11,November
19570325,1957-03-25,1957,1,3,March
19571002,1957-10-02,1957,4,10,October
19580217,1958-02-17,1958,1,2,February
19590318,1959-03-18,1959,1,3,March
19590618,1959-06-18,1959,2,6,June
19591225,1959-12-25,1959,4,12,December
19600615,1960-06-15,1960,2,6,June
19600616,1960-06-16,1960,2,6,June
19600619,1960-06-19,1960,2,6,June
19610101,1961-01-01,1961,1,1,January
19610925,1961-09-25,1961,3,9,September
19611018,1961-10-18,1961,4,10,October
19611201,1961-12-01,1961,4,12,December
19611218,1961-12-18,1961,4,12,December
19620225,1962-02-25,1962,1,2,February
19620422,1962-04-22,1962,2,4,April
19620613,1962-06-13,1962,2,6,June
19620925,1962-09-25,1962,3,9,September
19621004,1962-10-04,1962,4,10,October
19621210,1962-12-10,1962,4,12,December
19621225,1962-12-25,1962,4,12,December
19630506,1963-05-06,1963,2,5,May
19630529,1963-05-29,1963,2,5,May
19630612,1963-06-12,1963,2,6,June
19630620,1963-06-20,1963,2,6,June
19631006,1963-10-06,1963,4,10,October
19631011,1963-10-11,1963,4,10,October
19631107,1963-11-07,1963,4,11,November
19640101,1964-01-01,1964,1,1,January
19640129,1964-01-29,1964,1,1,January
19640324,1964-03-24,1964,1,3,March
19640706,1964-07-06,1964,3,7,July
19640827,1964-08-27,1964,3,8,August
19640912,1964-09-12,1964,3,9,September
19640917,1964-09-17,1964,3,9,September
19640921,1964-09-21,1964,3,9,September
19641021,1964-10-21,1964,4,10,October
19641204,1964-12-04,1964,4,12,December
19650215,1965-02-15,1965,1,2,February
19650302,1965-03-02,1965,1,3,March
