MovieKey,Title,OriginalLanguage,Status
5,Four Rooms,en,Released
11,Star Wars,en,Released
12,Finding Nemo,en,Released
13,Forrest Gump,en,Released
14,American Beauty,en,Released
16,Dancer in the Dark,en,Released
18,The Fifth Element,en,Released
19,Metropolis,de,Released
20,My Life Without Me,en,Released
22,Pirates of the Caribbean: The Curse of the Black Pearl,en,Released
24,Kill Bill: Vol. 1,en,Released
25,Jarhead,en,Released
28,Apocalypse Now,en,Released
33,Unforgiven,en,Released
35,The Simpsons Movie,en,Released
38,Eternal Sunshine of the Spotless Mind,en,Released
55,Amores perros,es,Released
58,Pirates of the Caribbean: Dead Man's Chest,en,Released
59,A History of Violence,en,Released
62,2001: A Space Odyssey,en,Released
65,8 Mile,en,Released
66,Absolute Power,en,Released
68,Brazil,en,Released
69,Walk the Line,en,Released
70,Million Dollar Baby,en,Released
71,Billy Elliot,en,Released
73,American History X,en,Released
74,War of the Worlds,en,Released
75,Mars Attacks!,en,Released
76,Before Sunrise,en,Released
77,Memento,en,Released
78,Blade Runner,en,Released
79,Hero,zh,Released
80,Before Sunset,en,Released
83,Open Water,en,Released
85,Raiders of the Lost Ark,en,Released
87,Indiana Jones and the Temple of Doom,en,Released
89,Indiana Jones and the Last Crusade,en,Released
90,Beverly Hills Cop,en,Released
95,Armageddon,en,Released
96,Beverly Hills Cop II,en,Released
98,Gladiator,en,Released
100,"Lock, Stock and Two Smoking Barrels",en,Released
103,Taxi Driver,en,Released
104,Run Lola Run,de,Released
105,Back to the Future,en,Released
106,Predator,en,Released
107,Snatch,en,Released
111,Scarface,en,Released
114,Pretty Woman,en,Released
115,The Big Lebowski,en,Released
116,Match Point,en,Released
117,The Untouchables,en,Released
118,Charlie and the Chocolate Factory,en,Released
120,The Lord of the Rings: The Fellowship of the Ring,en,Released
121,The Lord of the Rings: The Two Towers,en,Released
122,The Lord of the Rings: The Return of the King,en,Released
128,Princess Mononoke,ja,Released
129,Spirited Away,ja,Released
134,"O Brother, Where Art Thou?",en,Released
137,Groundhog Day,en,Released
141,Donnie Darko,en,Released
142,Brokeback Mountain,en,Released
146,"Crouching Tiger, Hidden Dragon",zh,Released
149,Akira,ja,Released
152,Star Trek: The Motion Picture,en,Released
153,Lost in Translation,en,Released
154,Star Trek II: The Wrath of Khan,en,Released
155,The Dark Knight,en,Released
157,Star Trek III: The Search for Spock,en,Released
161,Ocean's Eleven,en,Released
162,Edward Scissorhands,en,Released
163,Ocean's Twelve,en,Released
165,Back to the Future Part II,en,Released
167,K-PAX,en,Released
168,Star Trek IV: The Voyage Home,en,Released
169,Predator 2,en,Released
170,28 Days Later,en,Released
172,Star Trek V: The Final Frontier,en,Released
173,"20,000 Leagues Under the Sea",en,Released
174,Star Trek VI: The Undiscovered Country,en,Released
176,Saw,en,Released
177,The Fisher King,en,Released
179,The Interpreter,en,Released
180,Minority Report,en,Released
182,The Good German,en,Released
184,Jackie Brown,en,Released
186,Lucky Number Slevin,en,Released
187,Sin City,en,Released
189,Sin City: A Dame to Kill For,en,Released
193,Star Trek: Generations,en,Released
194,Amélie,fr,Released
196,Back to the Future Part III,en,Released
197,Braveheart,en,Released
199,Star Trek: First Contact,en,Released
200,Star Trek: Insurrection,en,Released
201,Star Trek: Nemesis,en,Released
203,Mean Streets,en,Released
205,Hotel Rwanda,en,Released
207,Dead Poets Society,en,Released
214,Saw III,en,Released
215,Saw II,en,Released
217,Indiana Jones and the Kingdom of the Crystal Skull,en,Released
218,The Terminator,en,Released
219,Volver,es,Released
223,Rebecca,en,Released
226,Boys Don't Cry,en,Released
227,The Outsiders,en,Released
231,Syriana,en,Released
235,Stand by Me,en,Released
238,The Godfather,en,Released
239,Some Like It Hot,en,Released
240,The Godfather: Part II,en,Released
242,The Godfather: Part III,en,Released
243,High Fidelity,en,Released
