MovieKey,DateKey,Budget,Revenue,VoteAverage,VoteCount,Popularity,Runtime,Profit
19995,20091210,237000000,2787965087,7.2,11800,150.437577,162.0,2550965087
285,20070519,300000000,961000000,6.9,4500,139.082615,169.0,661000000
206647,20151026,245000000,880674609,6.3,4466,107.376788,148.0,635674609
49026,20120716,250000000,1084939099,7.6,9106,112.31295,165.0,834939099
49529,20120307,260000000,284139100,6.1,2124,43.926995,132.0,24139100
559,20070501,258000000,890871626,5.9,3576,115.699814,139.0,632871626
38757,20101124,260000000,591794936,7.4,3330,48.681969,100.0,331794936
99861,20150422,280000000,1405403694,7.3,6767,134.279229,141.0,1125403694
767,20090707,250000000,933959197,7.4,5293,98.885637,153.0,683959197
209112,20160323,250000000,873260194,5.7,7004,155.790452,151.0,623260194
1452,20060628,270000000,391081192,5.4,1400,57.925623,154.0,121081192
10764,20081030,200000000,586090727,6.1,2965,107.928811,106.0,386090727
58,20060620,200000000,1065659812,7.0,5246,145.847379,151.0,865659812
57201,20130703,255000000,89289910,5.9,2311,49.046956,149.0,-165710090
49521,20130612,225000000,662845518,6.5,6359,99.398009,143.0,437845518
2454,20080515,225000000,419651413,6.3,1630,53.978602,150.0,194651413
24428,20120425,220000000,1519557910,7.4,11776,144.448633,143.0,1299557910
1865,20110514,380000000,1045713802,6.4,4948,135.413856,136.0,665713802
41154,20120523,225000000,624026776,6.2,4160,52.035179,106.0,399026776
122917,20141210,250000000,956019788,7.1,4760,120.965743,144.0,706019788
1930,20120627,215000000,752215857,6.5,6586,89.866276,136.0,537215857
20662,20100512,200000000,310669540,6.2,1398,37.668301,140.0,110669540
57158,20131211,250000000,958400000,7.6,4524,94.370564,161.0,708400000
2268,20071204,180000000,372234864,5.8,1303,42.990906,113.0,192234864
254,20051214,207000000,550000000,6.6,2337,61.22601,187.0,343000000
597,19971118,200000000,1845034188,7.5,7562,100.025899,194.0,1645034188
271110,20160427,250000000,1153304495,7.1,7241,198.372395,147.0,903304495
44833,20120411,209000000,303025485,5.5,2114,64.928382,131.0,94025485
135397,20150609,150000000,1513528810,6.5,8662,418.708552,124.0,1363528810
37724,20121025,200000000,1108561013,6.9,7604,93.004993,143.0,908561013
558,20040625,200000000,783766341,6.7,4321,35.149586,127.0,583766341
68721,20130418,200000000,1215439994,6.8,8806,77.68208,130.0,1015439994
12155,20100303,200000000,1025491110,6.4,4645,78.530105,108.0,825491110
36668,20060524,210000000,459359555,6.3,3525,3.857526,104.0,249359555
62211,20130620,200000000,743559607,7.0,3528,89.186492,104.0,543559607
8373,20090619,150000000,836297228,6.0,3138,21.939663,150.0,686297228
91314,20140625,210000000,1091405097,5.8,3095,116.840296,165.0,881405097
68728,20130307,200000000,491868548,5.7,3530,46.985445,130.0,291868548
102382,20140416,200000000,705717432,6.5,4179,89.270217,142.0,505717432
20526,20101210,170000000,400062763,6.3,2841,73.79505,125.0,230062763
49013,20110611,200000000,559852396,5.8,2033,49.98659,106.0,359852396
44912,20110616,200000000,219851172,5.1,2487,51.872839,114.0,19851172
10193,20100616,200000000,1066969703,7.6,4597,59.995418,103.0,866969703
534,20090520,200000000,371353001,5.9,2463,71.862892,115.0,171353001
168259,20150401,190000000,1506249360,7.3,4176,102.322217,137.0,1316249360
72190,20130620,200000000,531865000,6.7,5560,81.834855,116.0,331865000
127585,20140515,250000000,747862775,7.5,6032,118.078691,131.0,497862775
54138,20130505,190000000,467365246,7.4,4418,78.291018,132.0,277365246
81005,20130227,195000000,197687603,5.5,2598,43.349855,114.0,2687603
64682,20130510,105000000,351040419,7.3,3769,61.196071,143.0,246040419
9543,20100519,150000000,335154643,6.2,2317,62.169881,116.0,185154643
68726,20130711,180000000,407602906,6.7,4794,56.523205,131.0,227602906
38356,20110628,195000000,1123746996,6.1,3299,28.529607,154.0,928746996
217,20080521,185000000,786636033,5.7,2495,75.674458,122.0,601636033
105864,20151114,175000000,331926147,6.6,1736,51.692953,93.0,156926147
62177,20120621,185000000,538983207,6.7,4641,125.114374,93.0,353983207
188927,20160707,185000000,343471816,6.6,2568,65.352913,122.0,158471816
10681,20080622,180000000,521311860,7.8,6296,66.390712,98.0,341311860
5174,20070808,140000000,258022233,6.1,783,22.57178,91.0,118022233
14161,20091010,200000000,769653595,5.6,4903,45.274225,158.0,569653595
17979,20091104,200000000,325233863,6.6,1095,39.744242,96.0,125233863
76757,20150204,176000003,183987723,5.2,2768,85.36908,124.0,7987720
258489,20160629,180000000,356743061,5.5,2430,42.741719,109.0,176743061
411,20051207,180000000,748806957,6.7,2629,67.391328,143.0,568806957
246655,20160518,178000000,543934787,6.4,4721,139.272042,144.0,365934787
155,20080716,185000000,1004558444,8.2,12002,187.322927,152.0,819558444
14160,20090513,175000000,735099082,7.7,6870,92.201962,96.0,560099082
15512,20090319,175000000,381509870,6.0,1423,36.167578,94.0,206509870
1726,20080430,140000000,585174222,7.4,8776,120.725053,126.0,445174222
44826,20111122,170000000,185770160,7.0,2141,32.319043,126.0,15770160
8487,19990629,170000000,222104681,5.1,1020,40.748915,106.0,52104681
1735,20080701,145000000,401128639,5.2,1387,60.034162,112.0,256128639
297761,20160802,175000000,745000000,5.9,7458,90.23792,123.0,570000000
2698,20070609,175000000,173000000,5.3,1151,27.082182,96.0,-2000000
